Time,Current,Filtered,Current.1
0.666,6.385281e-10,,
0.667,6.385281e-10,,
0.668,6.38206e-10,,
0.669,6.388501e-10,,
0.67,6.385281e-10,,
0.671,6.378839e-10,,
0.672,6.38206e-10,,
0.673,6.385281e-10,,
0.674,6.378839e-10,,
0.675,6.378839e-10,,
0.676,6.38206e-10,,
0.677,6.38206e-10,,
0.678,6.38206e-10,,
0.679,6.38206e-10,,
0.68,6.372398e-10,,
0.681,6.372398e-10,,
0.682,6.378839e-10,,
0.683,6.375619e-10,,
0.684,6.372398e-10,,
0.685,6.375619e-10,,
0.686,6.375619e-10,,
0.687,6.378839e-10,,
0.688,6.375619e-10,,
0.689,6.369177e-10,,
0.69,6.375619e-10,,
0.691,6.375619e-10,,
0.692,6.372398e-10,,
0.693,6.365957e-10,,
0.694,6.362736e-10,,
0.695,6.365957e-10,,
0.696,6.365957e-10,,
0.697,6.369177e-10,,
0.698,6.365957e-10,,
0.699,6.365957e-10,,
0.7,6.362736e-10,,
0.701,6.365957e-10,,
0.702,6.362736e-10,,
0.703,6.365957e-10,,
0.704,6.372398e-10,,
0.705,6.362736e-10,,
0.706,6.365957e-10,,
0.707,6.372398e-10,,
0.708,6.365957e-10,,
0.709,6.365957e-10,,
0.71,6.362736e-10,,
0.711,6.359515e-10,,
0.712,6.362736e-10,,
0.713,6.362736e-10,,
0.714,6.362736e-10,,
0.715,6.356295e-10,,
0.716,6.359515e-10,,
0.717,6.356295e-10,,
0.718,6.362736e-10,,
0.719,6.362736e-10,,
0.72,6.362736e-10,,
0.721,6.365957e-10,,
0.722,6.365957e-10,,
0.723,6.365957e-10,,
0.724,6.353074e-10,,
0.725,6.359515e-10,,
0.726,6.365957e-10,,
0.727,6.365957e-10,,
0.728,6.356295e-10,,
0.729,6.359515e-10,,
0.73,6.362736e-10,,
0.731,6.359515e-10,,
0.732,6.362736e-10,,
0.733,6.356295e-10,,
0.734,6.359515e-10,,
0.735,6.365957e-10,,
0.736,6.362736e-10,,
0.737,6.365957e-10,,
0.738,6.359515e-10,,
0.739,6.365957e-10,,
0.74,6.359515e-10,,
0.741,6.365957e-10,,
0.742,6.356295e-10,,
0.743,6.365957e-10,,
0.744,6.369177e-10,,
0.745,6.369177e-10,,
0.746,6.362736e-10,,
0.747,6.365957e-10,,
0.748,6.362736e-10,,
0.749,6.362736e-10,,
0.75,6.362736e-10,,
0.751,6.365957e-10,,
0.752,6.365957e-10,,
0.753,6.359515e-10,,
0.754,6.369177e-10,,
0.755,6.369177e-10,,
0.756,6.369177e-10,,
0.757,6.375619e-10,,
0.758,6.372398e-10,,
0.759,6.369177e-10,,
0.76,6.369177e-10,,
0.761,6.365957e-10,,
0.762,6.365957e-10,,
0.763,6.369177e-10,,
0.764,6.365957e-10,,
0.765,6.372398e-10,,
0.766,6.375619e-10,,
0.767,6.372398e-10,,
0.768,6.372398e-10,,
0.769,6.372398e-10,,
0.77,6.375619e-10,,
0.771,6.378839e-10,,
0.772,6.375619e-10,,
0.773,6.38206e-10,,
0.774,6.378839e-10,,
0.775,6.375619e-10,,
0.776,6.38206e-10,,
0.777,6.378839e-10,,
0.778,6.38206e-10,,
0.779,6.385281e-10,,
0.78,6.378839e-10,,
0.781,6.372398e-10,,
0.782,6.378839e-10,,
0.783,6.378839e-10,,
0.784,6.372398e-10,,
0.785,6.385281e-10,,
0.786,6.385281e-10,,
0.787,6.388501e-10,,
0.788,6.385281e-10,,
0.789,6.388501e-10,,
0.79,6.391722e-10,,
0.791,6.388501e-10,,
0.792,6.398163e-10,,
0.793,6.391722e-10,,
0.794,6.388501e-10,,
0.795,6.394943e-10,,
0.796,6.398163e-10,,
0.797,6.391722e-10,,
0.798,6.394943e-10,,
0.799,6.394943e-10,,
0.8,6.394943e-10,,
0.801,6.398163e-10,,
0.802,6.394943e-10,,
0.803,6.398163e-10,,
0.804,6.411046e-10,,
0.805,6.401384e-10,,
0.806,6.404605e-10,,
0.807,6.404605e-10,,
0.808,6.404605e-10,,
0.809,6.414267e-10,,
0.81,6.411046e-10,,
0.811,6.407825e-10,,
0.812,6.404605e-10,,
0.813,6.407825e-10,,
0.814,6.411046e-10,,
0.815,6.407825e-10,,
0.816,6.407825e-10,,
0.817,6.411046e-10,,
0.818,6.414267e-10,,
0.819,6.414267e-10,,
0.82,6.417488e-10,,
0.821,6.417488e-10,,
0.822,6.414267e-10,,
0.823,6.417488e-10,,
0.824,6.417488e-10,,
0.825,6.420708e-10,,
0.826,6.42715e-10,,
0.827,6.417488e-10,,
0.828,6.417488e-10,,
0.829,6.423929e-10,,
0.83,6.420708e-10,,
0.831,6.417488e-10,,
0.832,6.423929e-10,,
0.833,6.423929e-10,,
0.834,6.420708e-10,,
0.835,6.420708e-10,,
0.836,6.42715e-10,,
0.837,6.42715e-10,,
0.838,6.42715e-10,,
0.839,6.42715e-10,,
0.84,6.43037e-10,,
0.841,6.42715e-10,,
0.842,6.42715e-10,,
0.843,6.42715e-10,,
0.844,6.43037e-10,,
0.845,6.42715e-10,,
