Time,Current,Filtered,Current.1,morph_signal,timing_signal
1.37,6.208143e-10,,,6.207928566666666e-10,-6.51481785000009e-12
1.371,6.208143e-10,,,6.207928566666668e-10,-6.50773234999999e-12
1.372,6.208143e-10,,,6.207928566666668e-10,-6.5004858000000964e-12
1.373,6.211364e-10,,,6.208035899999999e-10,-6.171300299999994e-12
1.374,6.208143e-10,,,6.207928533333333e-10,-6.486475799999932e-12
1.375,6.208143e-10,,,6.207821166666666e-10,-6.479712349999971e-12
1.376,6.204923e-10,,,6.208035899999999e-10,-6.794465800000048e-12
1.377,6.211364e-10,,,6.208250633333333e-10,-6.1432803000000786e-12
1.378,6.204923e-10,,,6.208465366666666e-10,-6.780294799999952e-12
1.379,6.211364e-10,,,6.208572733333334e-10,-6.129270350000087e-12
1.38,6.211364e-10,,,6.208894799999999e-10,-6.122345850000022e-12
1.381,6.204923e-10,,,6.209002133333333e-10,-6.7593603499999986e-12
1.382,6.208143e-10,,,6.209216833333333e-10,-6.430596899999964e-12
1.383,6.211364e-10,,,6.209324200000001e-10,-6.1015724500000695e-12
1.384,6.204923e-10,,,6.209646266666666e-10,-6.7389089999999784e-12
1.385,6.208143e-10,,,6.209861e-10,-6.40966250000008e-12
1.386,6.211364e-10,,,6.210075733333333e-10,-6.080315949999977e-12
1.387,6.208143e-10,,,6.210397800000001e-10,-6.3950084000001544e-12
1.388,6.208143e-10,,,6.210719866666666e-10,-6.3877618499999504e-12
1.389,6.208143e-10,,,6.210719866666666e-10,-6.380837349999989e-12
1.39,6.214585e-10,,,6.211149299999999e-10,-5.729390850000056e-12
1.391,6.214585e-10,,,6.211471366666667e-10,-5.722788449999993e-12
1.392,6.214585e-10,,,6.211900766666666e-10,-5.715541949999962e-12
1.393,6.211364e-10,,,6.212115466666666e-10,-6.0305564500000716e-12
1.394,6.214585e-10,,,6.212544866666667e-10,-5.701531950000004e-12
1.395,6.208143e-10,,,6.212866933333333e-10,-6.338807500000014e-12
1.396,6.208143e-10,,,6.213189e-10,-6.331722000000017e-12
1.397,6.211364e-10,,,6.213725766666667e-10,-6.002536499999915e-12
1.398,6.214585e-10,,,6.213940499999999e-10,-5.67335100000002e-12
1.399,6.214585e-10,,,6.214155199999999e-10,-5.6662655000000235e-12
1.4,6.214585e-10,,,6.2145846e-10,-5.6590189999999924e-12
1.401,6.217805e-10,,,6.214906666666666e-10,-5.32961139999992e-12
1.402,6.217805e-10,,,6.215121366666666e-10,-5.322203850000095e-12
1.403,6.211364e-10,,,6.215228733333334e-10,-5.959218350000072e-12
1.404,6.221026e-10,,,6.215658166666666e-10,-4.985771800000099e-12
1.405,6.217805e-10,,,6.2158729e-10,-5.300303200000172e-12
1.406,6.217805e-10,,,6.2160876e-10,-5.293056700000038e-12
1.407,6.217805e-10,,,6.216302299999999e-10,-5.2858101500000405e-12
1.408,6.217805e-10,,,6.216624366666667e-10,-5.278885700000045e-12
1.409,6.221026e-10,,,6.217161133333333e-10,-4.94921710000001e-12
1.41,6.221026e-10,,,6.217375833333333e-10,-4.941970550000116e-12
1.411,6.221026e-10,,,6.218127333333333e-10,-4.934885050000016e-12
1.412,6.214585e-10,,,6.218664133333332e-10,-5.5717385000000955e-12
1.413,6.217805e-10,,,6.219308266666666e-10,-5.242653000000025e-12
1.414,6.217805e-10,,,6.219845033333333e-10,-5.235406450000028e-12
1.415,6.217805e-10,,,6.220381799999999e-10,-5.228159900000031e-12
1.416,6.217805e-10,,,6.220811199999999e-10,-5.221074400000138e-12
1.417,6.211364e-10,,,6.221240633333333e-10,-5.857766849999872e-12
1.418,6.221026e-10,,,6.2215627e-10,-4.8839982000001046e-12
1.419,6.214585e-10,,,6.222099466666666e-10,-5.520851649999977e-12
1.42,6.221026e-10,,,6.222421533333333e-10,-4.869183000000005e-12
1.421,6.221026e-10,,,6.222743599999998e-10,-4.8622585500000096e-12
1.422,6.224247e-10,,,6.223065666666667e-10,-4.532750950000009e-12
1.423,6.227467e-10,,,6.2234951e-10,-4.203021299999901e-12
1.424,6.221026e-10,,,6.224139233333333e-10,-4.839552650000082e-12
1.425,6.230688e-10,,,6.224783366666667e-10,-3.865784049999867e-12
1.426,6.224247e-10,,,6.225320133333333e-10,-4.502798550000051e-12
1.427,6.230688e-10,,,6.225856899999999e-10,-3.8516130499998745e-12
1.428,6.230688e-10,,,6.226608366666667e-10,-3.844366499999981e-12
1.429,6.230688e-10,,,6.227252499999999e-10,-3.837442049999985e-12
1.43,6.227467e-10,,,6.2277893e-10,-4.15213444999999e-12
1.431,6.230688e-10,,,6.2285408e-10,-3.822787949999956e-12
